application_id,user_id,application_start_date,user_type,employment_status,credit_score_band,device_type,loan_amount_requested,step_reached,application_completed,loan_approved,time_on_application_mins
APP-00046,USR-00319,2023-08-01,abandoned_restart,employed,excellent,desktop,8000,2,no,,19
APP-00047,USR-00297,2023-03-20,new_user,self-employed,good,mobile,18000,1,no,,11
APP-00048,USR-00789,2024-01-16,new_user,employed,good,mobile,27000,5,no,,9
APP-00049,USR-00659,2023-02-27,new_user,employed,poor,mobile,18000,1,no,,3
APP-00050,USR-00860,2023-01-26,rejected_reapply,employed,excellent,desktop,32000,5,no,,35
APP-00051,USR-00340,2024-03-22,new_user,employed,good,tablet,49000,7,yes,yes,22
APP-00052,USR-01590,2023-03-07,new_user,employed,fair,mobile,32000,4,no,,9
APP-00053,USR-01186,2023-09-11,new_user,self-employed,poor,mobile,48000,3,no,,24
APP-00054,USR-00459,2023-02-13,new_user,employed,fair,mobile,45000,4,no,,41
APP-00055,USR-01609,2023-04-07,rejected_reapply,self-employed,excellent,desktop,36000,1,no,,2
APP-00056,USR-01534,2023-08-15,rejected_reapply,self-employed,fair,desktop,36000,1,no,,7
APP-00057,USR-01463,2024-03-11,new_user,employed,good,desktop,21000,7,yes,yes,22
APP-00058,USR-01898,2024-01-14,new_user,self-employed,poor,mobile,46000,5,no,,42
APP-00059,USR-00611,2023-06-27,abandoned_restart,self-employed,fair,desktop,32000,5,no,,34
APP-00060,USR-01074,2024-03-02,new_user,employed,good,desktop,31000,5,no,,8
APP-00061,USR-00179,2023-11-03,rejected_reapply,self-employed,excellent,mobile,37000,1,no,,7
APP-00062,USR-01265,2024-05-18,abandoned_restart,employed,good,mobile,16000,5,no,,7
APP-00063,USR-00123,2023-09-25,abandoned_restart,employed,excellent,mobile,46000,5,no,,11
APP-00064,USR-01012,2023-01-08,new_user,self-employed,good,mobile,46000,4,no,,37
APP-00065,USR-00861,2024-05-22,new_user,employed,poor,desktop,14000,4,no,,47
APP-00066,USR-00569,2024-04-20,second_loan,employed,fair,mobile,24000,5,no,,46
APP-00067,USR-01037,2023-10-24,new_user,employed,good,desktop,25000,5,no,,54
APP-00068,USR-00786,2023-06-13,abandoned_restart,self-employed,excellent,mobile,46000,7,yes,yes,16
APP-00069,USR-01531,2024-04-29,new_user,unemployed,excellent,mobile,35000,7,yes,yes,19
APP-00070,USR-00855,2023-03-13,abandoned_restart,employed,fair,mobile,17000,7,yes,no,14
APP-00071,USR-01712,2023-08-26,new_user,self-employed,fair,mobile,46000,7,yes,no,13
APP-00072,USR-00600,2023-04-14,new_user,unemployed,fair,mobile,42000,2,no,,13
APP-00073,USR-00322,2023-07-29,new_user,employed,excellent,mobile,45000,5,no,,28
APP-00074,USR-00841,2024-04-12,abandoned_restart,employed,excellent,mobile,4000,5,no,,9
APP-00075,USR-01787,2024-03-29,abandoned_restart,self-employed,good,mobile,11000,7,yes,yes,27
APP-00076,USR-01558,2023-09-25,new_user,self-employed,fair,mobile,47000,1,no,,1
APP-00077,USR-00246,2024-01-21,new_user,unemployed,good,mobile,15000,5,no,,28
APP-00078,USR-01207,2024-01-22,abandoned_restart,employed,good,mobile,30000,0,no,,5
APP-00079,USR-00299,2023-09-16,new_user,employed,fair,tablet,24000,7,yes,yes,17
APP-00080,USR-00190,2023-10-10,new_user,employed,good,mobile,2000,2,no,,5
APP-00081,USR-01338,2023-02-09,new_user,employed,poor,desktop,43000,0,no,,1
APP-00082,USR-01536,2024-04-30,new_user,employed,poor,mobile,34000,1,no,,7
APP-00083,USR-00507,2023-08-08,new_user,self-employed,excellent,desktop,23000,1,no,,2
APP-00084,USR-01386,2023-05-09,new_user,employed,good,mobile,31000,5,no,,28
APP-00085,USR-01274,2024-06-03,new_user,self-employed,good,tablet,37000,2,no,,22
APP-00086,USR-01033,2023-09-17,new_user,employed,good,mobile,13000,1,no,,4
APP-00087,USR-01799,2024-01-01,new_user,employed,fair,desktop,33000,7,yes,no,28
APP-00088,USR-01318,2024-06-27,new_user,employed,good,mobile,7000,5,no,,10
APP-00089,USR-01516,2024-06-07,new_user,employed,good,mobile,32000,5,no,,4
APP-00090,USR-01793,2023-01-16,rejected_reapply,employed,good,desktop,7000,5,no,,7
APP-00091,USR-00573,2023-05-09,new_user,student,good,mobile,42000,2,no,,15
APP-00092,USR-00880,2023-04-19,new_user,self-employed,fair,mobile,38000,1,no,,4
APP-00093,USR-01921,2024-06-16,new_user,employed,fair,mobile,44000,7,yes,no,18
APP-00094,USR-00420,2023-09-26,new_user,employed,good,desktop,13000,7,yes,yes,20
APP-00095,USR-01275,2023-06-11,new_user,unemployed,fair,tablet,24000,2,no,,20
APP-00096,USR-01001,2023-09-17,new_user,employed,good,mobile,28000,4,no,,26
APP-00097,USR-01360,2023-04-12,rejected_reapply,employed,fair,desktop,32000,7,yes,no,23
APP-00098,USR-00403,2024-05-20,new_user,employed,poor,mobile,43000,5,no,,5
APP-00099,USR-00129,2023-09-04,second_loan,unemployed,fair,mobile,18000,5,no,,48
APP-00100,USR-00033,2024-06-20,new_user,employed,excellent,tablet,34000,4,no,,44
APP-00101,USR-00628,2023-05-11,new_user,employed,fair,desktop,48000,7,yes,no,22
APP-00102,USR-01059,2023-12-19,new_user,unemployed,good,desktop,34000,7,yes,yes,18
APP-00103,USR-00472,2023-07-15,new_user,employed,good,mobile,38000,4,no,,3
APP-00104,USR-00338,2024-01-17,new_user,employed,poor,mobile,1000,2,no,,11
APP-00105,USR-01153,2023-08-15,abandoned_restart,employed,good,mobile,43000,5,no,,6
APP-00106,USR-01368,2024-04-20,new_user,unemployed,good,mobile,50000,3,no,,31
APP-00107,USR-00392,2024-04-21,rejected_reapply,employed,good,mobile,42000,3,no,,8
APP-00108,USR-00212,2023-09-22,rejected_reapply,student,excellent,desktop,31000,5,no,,35
APP-00109,USR-00104,2024-01-07,new_user,self-employed,fair,desktop,50000,5,no,,13
APP-00110,USR-00197,2024-04-30,new_user,employed,poor,mobile,1000,0,no,,2
APP-00111,USR-00094,2024-03-09,new_user,student,excellent,mobile,16000,1,no,,1
APP-00112,USR-00142,2023-07-30,new_user,employed,fair,desktop,39000,5,no,,36
APP-00113,USR-00045,2024-01-12,new_user,employed,good,mobile,15000,5,no,,7
APP-00114,USR-00457,2024-01-30,new_user,employed,good,desktop,33000,5,no,,3
APP-00115,USR-01707,2024-03-25,new_user,employed,fair,mobile,23000,5,no,,7
APP-00116,USR-00195,2023-12-30,new_user,employed,good,mobile,41000,5,no,,39
APP-00117,USR-01521,2024-04-01,second_loan,employed,poor,tablet,34000,7,yes,no,17
APP-00118,USR-00656,2023-08-14,abandoned_restart,employed,fair,mobile,17000,1,no,,2
APP-00119,USR-00051,2023-05-11,rejected_reapply,self-employed,poor,mobile,25000,1,no,,1
APP-00120,USR-00346,2024-04-20,new_user,employed,excellent,mobile,42000,5,no,,12
APP-00121,USR-01229,2023-10-04,new_user,student,fair,tablet,6000,2,no,,9
APP-00122,USR-01499,2023-06-05,new_user,employed,good,desktop,31000,7,yes,yes,25
APP-00123,USR-01062,2023-08-06,new_user,employed,excellent,mobile,5000,5,no,,7
APP-00124,USR-01533,2023-07-09,new_user,employed,good,mobile,40000,5,no,,5
APP-00125,USR-00557,2024-02-21,abandoned_restart,employed,good,desktop,40000,4,no,,9
APP-00126,USR-00453,2024-06-29,abandoned_restart,employed,good,mobile,30000,5,no,,34
APP-00127,USR-00161,2023-02-10,new_user,self-employed,fair,desktop,5000,5,no,,4
APP-00128,USR-00996,2023-11-03,new_user,unemployed,good,mobile,12000,7,yes,no,25
APP-00129,USR-00259,2023-12-04,new_user,student,good,mobile,7000,5,no,,57
APP-00130,USR-00480,2023-11-10,new_user,employed,excellent,desktop,45000,7,yes,yes,31
APP-00131,USR-01879,2023-03-16,new_user,unemployed,excellent,mobile,13000,2,no,,16
APP-00132,USR-00005,2023-10-06,new_user,employed,excellent,desktop,49000,5,no,,37
APP-00133,USR-00292,2023-06-25,new_user,employed,excellent,mobile,4000,0,no,,4
APP-00134,USR-00366,2023-09-30,second_loan,unemployed,good,mobile,50000,5,no,,7
APP-00135,USR-00802,2023-10-16,new_user,self-employed,good,tablet,42000,1,no,,7
APP-00136,USR-00555,2023-09-29,abandoned_restart,employed,excellent,mobile,3000,5,no,,45
APP-00137,USR-00411,2023-03-07,new_user,employed,fair,desktop,12000,5,no,,10
APP-00138,USR-00563,2024-04-27,new_user,employed,excellent,mobile,1000,0,no,,5
APP-00139,USR-00682,2023-09-05,new_user,self-employed,good,desktop,27000,7,yes,yes,27
APP-00140,USR-00684,2023-06-05,new_user,employed,good,desktop,43000,7,yes,yes,31
APP-00141,USR-00071,2023-02-16,new_user,student,good,mobile,50000,5,no,,6
APP-00142,USR-01834,2024-03-29,abandoned_restart,employed,excellent,desktop,13000,7,yes,yes,26
APP-00143,USR-01562,2023-07-20,abandoned_restart,employed,fair,desktop,17000,4,no,,42
APP-00144,USR-01294,2023-05-04,new_user,employed,good,mobile,8000,5,no,,45
APP-00145,USR-00057,2023-01-01,new_user,employed,good,mobile,32000,5,no,,38
APP-00146,USR-01476,2023-07-10,rejected_reapply,employed,fair,mobile,20000,3,no,,12
APP-00147,USR-01481,2024-05-30,new_user,self-employed,good,mobile,17000,1,no,,1
APP-00148,USR-00458,2024-03-17,new_user,unemployed,good,mobile,34000,2,no,,5
APP-00149,USR-01625,2023-05-23,new_user,unemployed,good,mobile,35000,7,yes,yes,19
APP-00150,USR-01687,2023-07-10,abandoned_restart,self-employed,fair,mobile,35000,1,no,,1
APP-00151,USR-01592,2024-06-16,second_loan,unemployed,good,desktop,38000,2,no,,22
APP-00152,USR-01103,2023-08-15,new_user,employed,good,mobile,42000,5,no,,46
APP-00153,USR-01116,2023-11-09,rejected_reapply,self-employed,good,tablet,24000,5,no,,35
APP-00154,USR-00701,2023-10-29,rejected_reapply,employed,fair,mobile,18000,1,no,,5
APP-00155,USR-00125,2024-04-04,new_user,employed,excellent,mobile,50000,2,no,,11
APP-00156,USR-00832,2024-02-05,new_user,employed,good,desktop,46000,5,no,,49
APP-00157,USR-00678,2024-01-28,new_user,employed,good,mobile,48000,1,no,,2
APP-00158,USR-00271,2023-07-26,second_loan,employed,good,mobile,39000,5,no,,3
APP-00159,USR-00421,2023-07-29,new_user,student,fair,mobile,33000,5,no,,6
APP-00160,USR-00980,2023-04-25,abandoned_restart,employed,good,mobile,49000,2,no,,7
APP-00161,USR-01042,2023-09-08,new_user,employed,good,mobile,23000,4,no,,5
APP-00162,USR-01469,2023-08-07,abandoned_restart,employed,good,tablet,25000,7,yes,yes,19
APP-00163,USR-01555,2024-02-11,new_user,employed,good,mobile,37000,5,no,,8
APP-00164,USR-00510,2024-03-18,new_user,employed,good,desktop,27000,5,no,,45
APP-00165,USR-01567,2023-12-20,rejected_reapply,employed,poor,desktop,1000,4,no,,39
APP-00166,USR-00890,2023-05-22,rejected_reapply,employed,good,mobile,21000,4,no,,49
APP-00167,USR-00651,2024-05-15,rejected_reapply,employed,fair,mobile,49000,5,no,,49
APP-00168,USR-00479,2024-06-25,new_user,self-employed,poor,desktop,10000,2,no,,5
APP-00169,USR-01761,2024-05-21,abandoned_restart,self-employed,excellent,desktop,31000,2,no,,15
APP-00170,USR-01802,2023-10-08,new_user,employed,good,mobile,44000,1,no,,5
APP-00171,USR-01880,2024-02-28,new_user,employed,good,mobile,25000,2,no,,18
APP-00172,USR-00953,2023-09-27,new_user,employed,good,mobile,20000,5,no,,37
APP-00173,USR-01155,2023-06-03,new_user,self-employed,excellent,mobile,2000,1,no,,8
APP-00174,USR-00407,2023-03-24,new_user,employed,good,mobile,48000,5,no,,6
APP-00175,USR-00436,2024-03-01,second_loan,employed,good,desktop,15000,1,no,,3
APP-00176,USR-01100,2023-10-02,new_user,self-employed,fair,mobile,28000,2,no,,5
APP-00177,USR-01212,2023-10-11,abandoned_restart,employed,excellent,desktop,13000,1,no,,4
APP-00178,USR-01538,2023-06-22,new_user,employed,excellent,desktop,50000,7,yes,yes,17
APP-00179,USR-00465,2023-11-23,new_user,employed,excellent,mobile,14000,1,no,,2
APP-00180,USR-00703,2023-03-04,new_user,unemployed,fair,mobile,50000,1,no,,2
APP-00181,USR-01091,2023-03-14,rejected_reapply,unemployed,fair,desktop,2000,7,yes,yes,10
APP-00182,USR-00521,2024-01-10,rejected_reapply,self-employed,fair,desktop,34000,7,yes,yes,19
APP-00183,USR-01235,2024-05-22,rejected_reapply,employed,fair,desktop,35000,5,no,,55
APP-00184,USR-01420,2024-02-02,second_loan,employed,excellent,mobile,37000,5,no,,38
APP-00185,USR-00355,2023-04-30,new_user,student,poor,mobile,25000,5,no,,10
APP-00186,USR-00064,2024-03-12,new_user,student,poor,mobile,48000,5,no,,50
APP-00187,USR-01301,2024-04-09,abandoned_restart,employed,fair,mobile,15000,5,no,,5
APP-00188,USR-01801,2023-10-13,new_user,self-employed,fair,desktop,12000,1,no,,7
APP-00189,USR-01296,2023-09-22,new_user,employed,fair,mobile,9000,7,yes,no,15
APP-00190,USR-00431,2023-11-16,new_user,employed,good,desktop,31000,2,no,,24
APP-00191,USR-00271,2024-01-11,new_user,self-employed,good,mobile,14000,5,no,,44
APP-00192,USR-00296,2023-03-30,new_user,employed,poor,desktop,29000,3,no,,5
APP-00193,USR-01613,2023-07-22,new_user,unemployed,good,tablet,48000,7,yes,yes,21
APP-00194,USR-00677,2023-11-30,new_user,employed,good,mobile,43000,5,no,,3
APP-00195,USR-00203,2023-08-10,new_user,employed,poor,tablet,38000,5,no,,23
APP-00196,USR-01889,2023-02-10,new_user,unemployed,good,mobile,42000,2,no,,10
APP-00197,USR-00946,2023-03-09,new_user,unemployed,good,mobile,8000,7,yes,yes,22
APP-00198,USR-01522,2024-05-28,abandoned_restart,employed,good,desktop,48000,5,no,,42
APP-00199,USR-00529,2023-05-07,new_user,employed,good,tablet,3000,5,no,,53
APP-00200,USR-00870,2023-09-12,new_user,self-employed,poor,mobile,2000,0,no,,8
APP-00201,USR-01910,2023-01-16,abandoned_restart,employed,excellent,mobile,16000,5,no,,5
APP-00202,USR-00618,2024-04-21,new_user,student,excellent,desktop,19000,7,yes,yes,14
APP-00203,USR-01563,2023-03-03,new_user,unemployed,excellent,desktop,30000,4,no,,9
APP-00204,USR-00030,2024-03-07,abandoned_restart,employed,poor,mobile,41000,4,no,,22
APP-00205,USR-01117,2023-09-25,new_user,employed,excellent,desktop,16000,3,no,,7
APP-00206,USR-01726,2023-02-04,abandoned_restart,employed,excellent,mobile,31000,5,no,,4
APP-00207,USR-01526,2024-05-08,abandoned_restart,unemployed,excellent,mobile,28000,5,no,,43
APP-00208,USR-00379,2024-04-13,abandoned_restart,employed,poor,mobile,4000,4,no,,36
APP-00209,USR-01682,2023-11-21,new_user,employed,good,mobile,10000,5,no,,46
APP-00210,USR-00649,2023-10-31,new_user,employed,excellent,tablet,45000,7,yes,yes,27
APP-00211,USR-00810,2023-10-03,new_user,employed,good,mobile,18000,5,no,,41
APP-00212,USR-00962,2023-07-20,new_user,employed,good,tablet,47000,5,no,,47
APP-00213,USR-00189,2024-03-20,new_user,employed,excellent,mobile,32000,7,yes,yes,17
APP-00214,USR-00613,2023-11-20,new_user,unemployed,good,desktop,30000,1,no,,3
APP-00215,USR-00171,2023-02-04,new_user,unemployed,good,desktop,36000,7,yes,yes,19
APP-00216,USR-00234,2024-04-26,new_user,self-employed,good,desktop,9000,6,no,,49
APP-00217,USR-00241,2024-04-24,new_user,employed,excellent,desktop,36000,7,yes,yes,16
APP-00218,USR-00044,2023-03-06,new_user,employed,poor,mobile,29000,4,no,,49
APP-00219,USR-00088,2023-01-08,abandoned_restart,self-employed,good,desktop,16000,5,no,,41
APP-00220,USR-01381,2023-10-28,new_user,employed,good,desktop,28000,7,yes,yes,25
APP-00221,USR-01308,2023-12-09,new_user,unemployed,good,mobile,21000,7,yes,yes,24
APP-00222,USR-01509,2024-03-06,rejected_reapply,self-employed,good,desktop,47000,1,no,,5
APP-00223,USR-00122,2024-02-28,new_user,employed,excellent,mobile,2000,5,no,,29
APP-00224,USR-01454,2023-11-28,new_user,unemployed,excellent,mobile,46000,5,no,,34
APP-00225,USR-00528,2024-03-13,new_user,student,poor,desktop,35000,0,no,,5
APP-00226,USR-00965,2023-06-23,abandoned_restart,employed,good,mobile,28000,5,no,,41
APP-00227,USR-00516,2024-06-10,new_user,employed,poor,desktop,36000,7,yes,no,15
APP-00228,USR-00706,2023-01-26,new_user,employed,fair,mobile,31000,0,no,,10
APP-00229,USR-01180,2024-02-10,new_user,employed,good,mobile,33000,1,no,,5
APP-00230,USR-01742,2023-08-20,rejected_reapply,employed,excellent,mobile,23000,5,no,,4
APP-00231,USR-00256,2024-06-16,new_user,employed,excellent,mobile,41000,4,no,,7
APP-00232,USR-00333,2024-05-19,new_user,student,poor,desktop,17000,5,no,,24
APP-00233,USR-01072,2023-06-28,rejected_reapply,employed,poor,mobile,46000,4,no,,44
APP-00234,USR-00642,2023-05-12,new_user,employed,good,mobile,49000,5,no,,40
APP-00235,USR-00830,2024-03-30,rejected_reapply,self-employed,good,mobile,1000,1,no,,4
APP-00236,USR-00470,2023-12-14,new_user,employed,fair,mobile,42000,5,no,,48
APP-00237,USR-00150,2024-06-23,rejected_reapply,unemployed,excellent,desktop,23000,7,yes,yes,16
APP-00238,USR-01024,2024-02-10,new_user,employed,excellent,mobile,48000,5,no,,8
APP-00239,USR-00325,2023-03-17,abandoned_restart,employed,good,desktop,27000,1,no,,3
APP-00240,USR-00230,2024-05-06,rejected_reapply,employed,excellent,tablet,25000,5,no,,24
APP-00241,USR-00254,2023-07-13,new_user,self-employed,fair,desktop,32000,2,no,,25
APP-00242,USR-00433,2023-06-11,new_user,employed,good,desktop,19000,7,yes,yes,24
APP-00243,USR-00135,2023-12-13,new_user,self-employed,good,mobile,24000,7,yes,yes,27
APP-00244,USR-01896,2023-12-27,new_user,employed,poor,mobile,3000,5,no,,26
APP-00245,USR-00547,2023-03-28,new_user,employed,excellent,desktop,12000,2,no,,14
APP-00246,USR-00046,2023-09-19,new_user,employed,good,desktop,35000,5,no,,49
APP-00247,USR-00323,2023-08-02,new_user,unemployed,good,desktop,15000,1,no,,6
APP-00248,USR-00961,2023-09-19,new_user,unemployed,fair,desktop,17000,7,yes,no,17
APP-00249,USR-01436,2023-10-10,new_user,employed,poor,mobile,50000,5,no,,28
APP-00250,USR-01111,2024-04-11,abandoned_restart,employed,poor,mobile,32000,7,yes,no,23
APP-00251,USR-00979,2024-01-15,new_user,employed,good,desktop,7000,7,yes,yes,20
APP-00252,USR-01587,2023-12-28,new_user,employed,good,desktop,19000,7,yes,no,10
APP-00253,USR-00787,2024-03-24,new_user,employed,fair,mobile,7000,1,no,,1
APP-00254,USR-00196,2024-03-16,new_user,unemployed,good,desktop,5000,1,no,,8
APP-00255,USR-00451,2023-04-03,new_user,unemployed,good,mobile,40000,5,no,,33
APP-00256,USR-00657,2024-02-28,new_user,employed,good,mobile,21000,5,no,,36
APP-00257,USR-01376,2023-05-22,new_user,employed,good,desktop,48000,7,yes,no,28
APP-00258,USR-00283,2023-10-18,rejected_reapply,unemployed,excellent,desktop,48000,7,yes,yes,25
APP-00259,USR-00222,2024-03-07,new_user,self-employed,good,mobile,47000,0,no,,3
APP-00260,USR-00338,2023-02-18,abandoned_restart,employed,good,mobile,7000,5,no,,47
APP-00261,USR-01458,2023-10-29,abandoned_restart,employed,fair,mobile,37000,2,no,,17
APP-00262,USR-00519,2023-07-09,abandoned_restart,employed,fair,desktop,23000,5,no,,52
APP-00263,USR-00174,2023-05-16,rejected_reapply,employed,poor,mobile,11000,5,no,,8
APP-00264,USR-01104,2024-02-08,new_user,employed,good,desktop,10000,7,yes,yes,17
APP-00265,USR-00368,2023-12-07,new_user,employed,fair,tablet,21000,5,no,,11
APP-00266,USR-00462,2023-11-14,rejected_reapply,self-employed,fair,desktop,41000,2,no,,20
APP-00267,USR-01508,2023-12-29,new_user,employed,good,mobile,33000,5,no,,4
APP-00268,USR-00153,2024-01-17,new_user,employed,fair,desktop,20000,2,no,,18
APP-00269,USR-00791,2023-08-21,abandoned_restart,employed,fair,mobile,33000,5,no,,37
APP-00270,USR-00346,2023-12-10,abandoned_restart,self-employed,fair,mobile,40000,7,yes,yes,17
APP-00271,USR-01718,2024-06-12,rejected_reapply,unemployed,good,mobile,35000,1,no,,6
APP-00272,USR-01529,2023-07-02,second_loan,employed,poor,mobile,34000,5,no,,45
APP-00273,USR-00544,2023-02-10,abandoned_restart,employed,good,tablet,36000,5,no,,42
APP-00274,USR-00846,2024-02-01,new_user,student,good,mobile,27000,2,no,,6
APP-00275,USR-00269,2024-05-08,rejected_reapply,employed,good,mobile,19000,4,no,,35
APP-00276,USR-00258,2023-11-29,new_user,employed,good,tablet,43000,1,no,,1
APP-00277,USR-01865,2023-05-07,new_user,employed,excellent,mobile,5000,4,no,,38
APP-00278,USR-01179,2023-01-01,rejected_reapply,employed,poor,desktop,29000,4,no,,38
APP-00279,USR-01870,2023-06-17,new_user,employed,fair,mobile,10000,4,no,,3
APP-00280,USR-00508,2023-01-19,new_user,unemployed,fair,mobile,40000,1,no,,5
APP-00281,USR-00255,2023-11-28,new_user,self-employed,poor,tablet,13000,2,no,,10
APP-00282,USR-00398,2024-03-31,rejected_reapply,employed,fair,mobile,29000,3,no,,18
APP-00283,USR-00784,2023-04-19,new_user,unemployed,fair,mobile,5000,2,no,,13
APP-00284,USR-01196,2023-09-25,abandoned_restart,employed,good,mobile,12000,7,yes,yes,20
APP-00285,USR-00169,2024-03-20,new_user,employed,good,mobile,13000,5,no,,9
APP-00286,USR-01760,2023-08-28,abandoned_restart,employed,fair,mobile,22000,1,no,,1
APP-00287,USR-01804,2023-10-28,abandoned_restart,self-employed,good,mobile,40000,0,no,,1
APP-00288,USR-01273,2023-04-13,new_user,employed,fair,mobile,15000,5,no,,4
APP-00289,USR-01129,2023-09-07,new_user,employed,fair,desktop,13000,5,no,,12
APP-00290,USR-00136,2024-03-28,new_user,self-employed,good,mobile,1000,2,no,,15
APP-00291,USR-00818,2024-06-03,second_loan,self-employed,poor,mobile,38000,5,no,,41
APP-00292,USR-00099,2023-06-02,abandoned_restart,self-employed,poor,mobile,43000,1,no,,2
APP-00293,USR-01026,2023-06-23,rejected_reapply,employed,good,tablet,45000,5,no,,22
APP-00294,USR-01222,2023-12-09,new_user,employed,excellent,tablet,1000,2,no,,6
APP-00295,USR-00633,2024-03-06,abandoned_restart,employed,good,desktop,11000,7,yes,yes,19
APP-00296,USR-00416,2023-11-20,abandoned_restart,employed,poor,desktop,43000,7,yes,no,20
APP-00297,USR-01152,2024-02-24,abandoned_restart,unemployed,excellent,mobile,40000,5,no,,6
APP-00298,USR-01264,2024-04-29,second_loan,employed,good,mobile,22000,5,no,,32
APP-00299,USR-01248,2024-02-16,new_user,employed,good,desktop,35000,5,no,,52
APP-00300,USR-01340,2023-03-25,new_user,self-employed,excellent,desktop,44000,7,yes,yes,30
APP-00301,USR-00211,2023-04-23,abandoned_restart,employed,good,mobile,6000,5,no,,6
APP-00302,USR-00163,2023-11-28,abandoned_restart,employed,fair,mobile,28000,5,no,,27
APP-00303,USR-01738,2024-01-13,new_user,self-employed,good,tablet,31000,7,yes,yes,26
APP-00304,USR-01881,2023-02-10,new_user,unemployed,good,desktop,8000,5,no,,8
APP-00305,USR-01830,2023-04-15,new_user,self-employed,good,mobile,5000,1,no,,6
APP-00306,USR-01611,2023-07-21,new_user,employed,good,desktop,42000,7,yes,yes,12
